showRange,movieNm,rank,movieCd,openDt,audiAcc
20190318~20190324,악질경찰,3,20197846,2019-03-20,189602
20190318~20190324,이스케이프 룸,4,20197283,2019-03-14,544462
20190318~20190324,우상,5,20175407,2019-03-20,137880
20190318~20190324,라스트 미션,6,20197356,2019-03-14,93476
20190318~20190324,페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,7,20198603,2019-03-21,24340
20190318~20190324,정글북: 마법 원정대,8,20197617,2019-03-21,22534
20190318~20190324,그린 북,9,20184574,2019-01-09,409871
20190318~20190324,항거:유관순 이야기,10,20196601,2019-02-27,1143977
20190311~20190317,캡틴 마블,1,20181877,2019-03-06,4600122
20190311~20190317,이스케이프 룸,2,20197283,2019-03-14,389570
20190311~20190317,항거:유관순 이야기,3,20196601,2019-02-27,1128895
20190311~20190317,돈,4,20176103,2019-03-20,75464
20190311~20190317,극한직업,5,20182530,2019-01-23,16243231
20190311~20190317,라스트 미션,6,20197356,2019-03-14,64302
20190311~20190317,증인,7,20185881,2019-02-13,2519150
20190311~20190317,사바하,8,20177539,2019-02-20,2389760
20190311~20190317,그린 북,9,20184574,2019-01-09,394380
20190311~20190317,숲속왕국의 꿀벌 여왕,10,20196723,2019-03-14,18305
20190304~20190310,캡틴 마블,1,20181877,2019-03-06,3036626
20190304~20190310,항거:유관순 이야기,2,20196601,2019-02-27,1042049
20190304~20190310,사바하,3,20177539,2019-02-20,2340525
20190304~20190310,증인,4,20185881,2019-02-13,2457291
20190304~20190310,극한직업,5,20182530,2019-01-23,16178545
20190304~20190310,그린 북,6,20184574,2019-01-09,372293
20190304~20190310,더 페이버릿: 여왕의 여자,7,20180937,2019-02-21,133508
20190304~20190310,리노,8,20177282,2019-03-07,16489
20190304~20190310,자전차왕 엄복동,9,20176442,2019-02-27,168884
20190304~20190310,신데렐라:마법 반지의 비밀,10,20195743,2019-02-20,281705
20190225~20190303,사바하,1,20177539,2019-02-20,2148501
20190225~20190303,항거:유관순 이야기,2,20196601,2019-02-27,791038
20190225~20190303,증인,3,20185881,2019-02-13,2288390
20190225~20190303,극한직업,4,20182530,2019-01-23,16029794
20190225~20190303,자전차왕 엄복동,5,20176442,2019-02-27,154330
20190225~20190303,신데렐라:마법 반지의 비밀,6,20195743,2019-02-20,267319
20190225~20190303,"어쩌다, 결혼",7,20195791,2019-02-27,70827
20190225~20190303,드래곤 길들이기 3,8,20186261,2019-01-30,1498759
20190225~20190303,더 페이버릿: 여왕의 여자,9,20180937,2019-02-21,104916
20190225~20190303,알리타: 배틀 엔젤,10,20188282,2019-02-05,1946206
20190218~20190224,사바하,1,20177539,2019-02-20,1176175
